try1
one
1555541836.952338,try_logger.py,42,0
1555541836.9528902,try_logger.py,42,1
1555541836.9535081,try_logger.py,42,2
1555541836.9540632,try_logger.py,42,3
1555541836.954581,try_logger.py,42,4
1555541836.9550982,try_logger.py,42,5
1555541836.955592,try_logger.py,42,6
1555541836.956086,try_logger.py,42,7
1555541836.956581,try_logger.py,42,8
1555541836.957105,try_logger.py,42,9
1555541836.95762,try_logger.py,45,0
1555541836.957888,try_logger.py,45,1
1555541836.958134,try_logger.py,45,2
1555541836.958384,try_logger.py,45,3
1555541836.958633,try_logger.py,45,4
1555541836.958882,try_logger.py,45,5
1555541836.95913,try_logger.py,45,6
1555541836.959379,try_logger.py,45,7
1555541836.959627,try_logger.py,45,8
1555541836.959878,try_logger.py,45,9
two
1555541836.952632,try_logger.py,43,5
1555541836.953145,try_logger.py,43,6
1555541836.9538,try_logger.py,43,7
1555541836.954323,try_logger.py,43,8
1555541836.95485,try_logger.py,43,9
1555541836.955345,try_logger.py,43,10
1555541836.955839,try_logger.py,43,11
1555541836.9563332,try_logger.py,43,12
1555541836.9568481,try_logger.py,43,13
1555541836.957361,try_logger.py,43,14
